,date,open,high,low,close,signal,ADX,PP,R1,S1,R2,S2,R3,S3,R4,S4,sl_price,sl,tp_price,tp,new_trade,trade_id,open_price,close_price,ctr,margin,summargin,fee,ctrf,SR,DR,CSR,CMR,y_pred,y_pred_val,y_pred_id,Price_Rise,date_to
43,2019-02-13,121.08,125.44,119.55,120.58,Sell,50.15608994982077,121.85666666666667,124.16333333333334,118.27333333333334,127.74666666666668,115.96666666666667,130.05333333333334,112.38333333333334,132.36,108.80000000000001,126.0,False,0.0,False,True,43.0,121.08,120.58,1.0,0,0,0.0,1.0,1.0,0.9958704988437397,1.1209203495211966,0.9689031739654476,False,0.25,250.0,0,2019-02-14
44,2019-02-14,120.58,123.11,115.0,119.37,Sell,45.13121295565865,119.16000000000001,123.32000000000002,115.21000000000002,127.27000000000001,111.05000000000001,131.43,107.10000000000002,135.59000000000003,103.15000000000003,127.74666666666668,False,0.0,False,False,43.0,121.08,119.37,1.0,0,0,0.0,1.0,1.0,0.9899651683529608,1.1209203495211966,0.9591803937324224,False,0.25,250.0,0,2019-02-15
45,2019-02-15,119.37,123.14,119.03,120.48,Sell,40.969209524947,120.88333333333334,122.73666666666668,118.62666666666668,124.99333333333334,116.77333333333334,126.84666666666668,114.51666666666668,128.70000000000002,112.26000000000002,127.27000000000001,False,0.0,False,False,43.0,121.08,120.48,1.0,0,0,0.0,1.0,1.0,1.009298818798693,1.1209203495211966,0.9680996384089993,False,0.25,250.0,1,2019-02-16
46,2019-02-16,120.48,123.78,120.41,121.54,Sell,38.11955572110147,121.91000000000001,123.41000000000003,120.04000000000002,125.28,118.54,126.78000000000003,116.67000000000002,128.28000000000003,114.80000000000003,124.99333333333334,False,0.0,False,False,43.0,121.08,121.54,1.0,0,0,0.0,1.0,1.0,1.0087981407702524,1.1209203495211966,0.9766171153073521,False,0.25,250.0,1,2019-02-17
47,2019-02-17,121.54,134.4,121.5,132.32,Sell,41.844490240338615,129.40666666666667,137.31333333333333,124.41333333333333,142.30666666666667,116.50666666666666,150.21333333333334,111.51333333333332,158.12,106.51999999999998,125.28,False,0.0,False,False,43.0,121.08,132.32,1.0,0,0,0.0,1.0,1.0,1.0886950798091162,1.1209203495211966,1.0632382482924865,False,0.25,250.0,1,2019-02-18
48,2019-02-18,132.32,148.59,131.01,144.71,Sell,47.816473730009506,141.4366666666667,151.8633333333334,134.2833333333334,159.0166666666667,123.85666666666668,169.4433333333334,116.70333333333338,179.87000000000012,109.55000000000007,142.30666666666667,False,0.0,False,False,43.0,121.08,144.71,1.0,0,0,0.0,1.0,1.0,1.0936366384522371,1.1209203495211966,1.16279630373644,False,0.25,250.0,1,2019-02-19
49,2019-02-19,144.7,149.62,142.44,142.85,Sell,52.92904006192401,144.97,147.5,140.32,152.15000000000003,137.79,154.68,133.14,157.21,128.48999999999998,159.0166666666667,False,0.0,False,False,43.0,121.08,142.85,1.0,0,0,0.0,1.0,1.0,0.9871467072075184,1.1209203495211966,1.1478505423865002,False,0.5,500.0,0,2019-02-20
50,2019-02-20,142.73,148.7,139.51,147.29,Sell,53.89119828090066,145.16666666666666,150.82333333333332,141.63333333333333,154.35666666666668,135.97666666666666,160.01333333333332,132.44333333333333,165.67,128.91,152.15000000000003,False,0.0,False,False,43.0,121.08,147.29,1.0,0,0,0.0,1.0,1.0,1.0310815540777039,1.1209203495211966,1.183527521092808,False,0.5,500.0,1,2019-02-21
51,2019-02-21,147.33,148.98,141.68,144.17,Sell,54.779411434626674,144.9433333333333,148.2066666666666,140.9066666666666,152.24333333333328,137.64333333333332,155.50666666666658,133.60666666666663,158.76999999999987,129.56999999999994,154.35666666666668,False,0.0,False,False,43.0,121.08,144.17,1.0,0,0,0.0,1.0,1.0,0.9788172992056486,1.1209203495211966,1.1584572117316188,False,0.5,500.0,0,2019-02-22
52,2019-02-22,144.17,147.48,142.22,146.57,Buy,55.51958906273168,145.42333333333332,148.62666666666664,143.36666666666665,150.6833333333333,140.16333333333333,153.88666666666663,138.10666666666665,157.08999999999995,136.04999999999998,154.35666666666668,False,288.34,False,True,52.0,144.17,146.57,1.0166470139418742,0,0,0.008066588055767498,1.0085804258861066,1.0085804258861066,1.0166470139418742,1.130538323504492,1.1777420650863797,True,1.0,1000.0,1,2019-02-23
53,2019-02-23,146.57,159.4,144.67,157.5,Sell,59.09233968467788,153.85666666666665,163.04333333333332,148.3133333333333,168.58666666666667,139.12666666666664,177.77333333333334,133.5833333333333,186.96,128.03999999999994,150.6833333333333,False,0.0,False,True,53.0,146.57,157.5,1.0,0,0,0.0,1.0,1.0,1.0745718769188783,1.130538323504492,1.2655685014061868,False,0.25,250.0,1,2019-02-24
54,2019-02-24,157.5,166.62,131.18,131.75,Buy,51.11837155588186,143.18333333333334,155.18666666666667,119.74666666666667,178.62333333333333,107.74333333333334,190.62666666666667,84.30666666666667,202.63,60.870000000000005,150.6833333333333,False,315.0,False,True,54.0,157.5,131.75,0.8365079365079365,0,0,0.007346031746031746,0.8291619047619048,0.8291619047619048,0.8365079365079365,0.937399309723315,1.058658095620731,True,0.75,750.0,0,2019-02-25
55,2019-02-25,131.74,141.04,131.01,137.54,Sell,44.36986501009881,136.52999999999997,142.04999999999995,132.01999999999995,146.55999999999995,126.49999999999997,152.07999999999996,121.98999999999995,157.59999999999994,117.47999999999993,178.62333333333333,False,0.0,False,True,55.0,131.74,137.54,1.0,0,0,0.0,1.0,1.0,1.0439468690702087,0.937399309723315,1.1051828043390917,False,0.5,500.0,1,2019-02-26
56,2019-02-26,137.57,138.04,133.11,135.71,Sell,38.74610955527961,135.62,138.13,133.20000000000002,140.54999999999995,130.69000000000003,143.05999999999997,128.27000000000004,145.56999999999996,125.85000000000005,146.55999999999995,False,0.0,False,False,55.0,131.74,135.71,1.0,0,0,0.0,1.0,1.0,0.9866947797004509,0.937399309723315,1.0904781036560867,False,0.25,250.0,0,2019-02-27
57,2019-02-27,135.71,139.95,126.5,134.11,Sell,34.90872593127319,133.52,140.54000000000002,127.09000000000003,146.97000000000003,120.07000000000002,153.99,113.64000000000004,161.01000000000002,107.21000000000006,140.54999999999995,False,0.0,False,False,55.0,131.74,134.11,1.0,0,0,0.0,1.0,1.0,0.9882101540048633,0.937399309723315,1.0776215347529128,False,0.25,250.0,0,2019-02-28
58,2019-02-28,134.11,139.7,131.45,134.52,Sell,31.710906244601166,135.22333333333333,138.99666666666667,130.74666666666667,143.4733333333333,126.97333333333333,147.24666666666667,122.49666666666667,151.02,118.02000000000001,146.97000000000003,False,0.0,False,False,55.0,131.74,134.52,1.0,0,0,0.0,1.0,1.0,1.0030571918574305,0.937399309723315,1.080916030534351,False,0.25,250.0,1,2019-03-01
59,2019-03-01,134.59,137.73,133.63,134.79,Sell,29.046056505707813,135.38333333333333,137.13666666666666,133.03666666666666,139.48333333333335,131.28333333333333,141.23666666666665,128.93666666666667,142.98999999999998,126.59,143.4733333333333,False,0.0,False,False,55.0,131.74,134.79,1.0,0,0,0.0,1.0,1.0,1.002007136485281,0.937399309723315,1.0830855765367615,False,0.5,500.0,1,2019-03-02
60,2019-03-02,134.79,135.42,129.13,132.23,Sell,29.899653589600742,132.26,135.39,129.1,138.54999999999995,125.97,141.67999999999998,122.81,144.80999999999997,119.65,139.48333333333335,False,0.0,False,False,55.0,131.74,132.23,1.0,0,0,0.0,1.0,1.0,0.981007493137473,0.937399309723315,1.0625150662916831,False,0.5,500.0,0,2019-03-03
61,2019-03-03,132.33,134.77,127.0,129.81,Sell,31.82417964264346,130.52666666666667,134.05333333333334,126.28333333333333,138.29666666666668,122.75666666666666,141.82333333333335,118.51333333333332,145.35000000000002,114.26999999999998,138.54999999999995,False,0.0,False,False,55.0,131.74,129.81,1.0,0,0,0.0,1.0,1.0,0.9816985555471528,0.937399309723315,1.0430695058256327,False,0.5,500.0,0,2019-03-04
62,2019-03-04,129.81,130.38,122.55,125.18,Sell,35.546030435260256,126.03666666666668,129.52333333333337,121.69333333333336,133.86666666666667,118.20666666666668,137.35333333333335,113.86333333333336,140.84000000000003,109.52000000000004,138.29666666666668,False,0.0,False,False,55.0,131.74,125.18,1.0,0,0,0.0,1.0,1.0,0.9643324859409907,0.937399309723315,1.0058658095620732,False,0.5,500.0,0,2019-03-05
63,2019-03-05,125.18,137.64,124.75,136.49,Sell,30.985975386528377,132.96,141.17000000000002,128.28000000000003,145.85000000000002,120.07000000000002,154.06,115.39000000000004,162.27,110.71000000000006,133.86666666666667,False,0.0,False,False,55.0,131.74,136.49,1.0,0,0,0.0,1.0,1.0,1.0903498961495446,0.937399309723315,1.096745680996384,False,0.5,500.0,1,2019-03-06
64,2019-03-06,136.49,140.61,132.49,136.92,Sell,26.759860586667966,136.67333333333332,140.85666666666663,132.73666666666662,144.7933333333333,128.5533333333333,148.97666666666663,124.61666666666662,153.15999999999994,120.67999999999992,145.85000000000002,False,0.0,False,False,55.0,131.74,136.92,1.0,0,0,0.0,1.0,1.0,1.0031504139497398,0.937399309723315,1.100200883889112,False,0.5,500.0,1,2019-03-07
65,2019-03-07,136.92,139.86,133.63,136.19,Sell,23.238098253450953,136.56,139.49,133.26,142.79000000000002,130.32999999999998,145.72000000000003,127.02999999999997,148.65000000000003,123.72999999999996,144.7933333333333,False,0.0,False,False,55.0,131.74,136.19,1.0,0,0,0.0,1.0,1.0,0.9946684195150454,0.937399309723315,1.094335074327039,False,0.5,500.0,0,2019-03-08
66,2019-03-08,136.11,138.79,129.39,132.74,Sell,22.087443178879592,133.64,137.89,128.48999999999998,143.03999999999996,124.23999999999998,147.29,119.08999999999997,151.54,113.93999999999997,142.79000000000002,False,0.0,False,False,55.0,131.74,132.74,1.0,0,0,0.0,1.0,1.0,0.9746677435935092,0.937399309723315,1.0666130976295702,False,0.5,500.0,0,2019-03-09
